sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-03-13 10:00:34.241217+00:00,3.3739791,9.7640610,26.6945133,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7640610
2,2022-03-13 10:00:37.614947+00:00,3.3745704,9.7606392,26.7422085,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7606392
3,2022-03-13 10:00:40.988713+00:00,3.3735652,9.7664576,26.7442436,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7664576
4,2022-03-13 10:00:44.360864+00:00,3.3721404,9.7747116,26.6775799,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7747116
5,2022-03-13 10:00:47.734036+00:00,3.3732140,9.7684908,26.6011696,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7684908
6,2022-03-13 10:00:51.107734+00:00,3.3737690,9.7652769,26.5469646,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7652769
7,2022-03-13 10:00:54.481247+00:00,3.3736353,9.7660513,26.5226555,19.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.98,0,9.7660513
8,2022-03-13 10:00:57.854301+00:00,3.3731239,9.7690134,26.4853916,20.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.02,0,9.7690134
9,2022-03-13 10:01:01.227340+00:00,3.3731151,9.7690630,26.4832287,20.04,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.04,0,9.7690630
10,2022-03-13 10:01:04.602463+00:00,3.3750811,9.7576857,26.5193329,20.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.02,0,9.7576857
11,2022-03-13 10:01:07.975961+00:00,3.3737822,9.7652006,26.5529842,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7652006
12,2022-03-13 10:01:11.349279+00:00,3.3732977,9.7680063,26.5352898,20.01,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.01,0,9.7680063
13,2022-03-13 10:01:14.721169+00:00,3.3718181,9.7765808,26.4232597,19.98,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.98,0,9.7765808
14,2022-03-13 10:01:18.094737+00:00,3.3735905,9.7663107,26.3857117,20.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.02,0,9.7663107
15,2022-03-13 10:01:21.468640+00:00,3.3739924,9.7639837,26.3287125,20.02,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.02,0,9.7639837
16,2022-03-13 10:01:24.841941+00:00,3.3733895,9.7674751,26.3127518,20.05,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.05,0,9.7674751
17,2022-03-13 10:01:28.214805+00:00,3.3731427,9.7689028,26.2776012,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7689028
18,2022-03-13 10:01:31.588242+00:00,3.3733675,9.7676020,26.2910423,20.08,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.08,0,9.7676020
19,2022-03-13 10:01:34.963390+00:00,3.3751159,9.7574844,26.3296871,20.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.06,0,9.7574844
20,2022-03-13 10:01:38.336734+00:00,3.3735032,9.7668152,26.3480892,20.03,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.03,0,9.7668152
21,2022-03-13 10:01:41.709524+00:00,3.3727221,9.7713404,26.2994480,20.06,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,20.06,0,9.7713404
