sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-15 08:48:34.996824+00:00,3.3737226,9.7655458,26.5027390,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7655458
2,2022-01-15 08:48:38.370287+00:00,3.3740396,9.7637100,26.4532700,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7637100
3,2022-01-15 08:48:41.743751+00:00,3.3734417,9.7671719,26.4321709,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7671719
4,2022-01-15 08:48:45.117067+00:00,3.3731875,9.7686443,26.4005260,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7686443
5,2022-01-15 08:48:48.490731+00:00,3.3736830,9.7657747,26.4182091,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7657747
6,2022-01-15 08:48:51.865958+00:00,3.3750105,9.7580938,26.4563160,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7580938
7,2022-01-15 08:48:55.239475+00:00,3.3735170,9.7667360,26.4682064,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7667360
8,2022-01-15 08:48:58.612133+00:00,3.3724606,9.7728558,26.4044743,18.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.90,0,9.7728558
9,2022-01-15 08:49:01.985170+00:00,3.3729327,9.7701197,26.3312435,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7701197
10,2022-01-15 08:49:05.359329+00:00,3.3738976,9.7645330,26.2616997,18.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.95,0,9.7645330
11,2022-01-15 08:49:08.732994+00:00,3.3737016,9.7656679,26.2423344,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7656679
12,2022-01-15 08:49:12.106440+00:00,3.3731921,9.7686176,26.2126198,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7686176
13,2022-01-15 08:49:15.479698+00:00,3.3731818,9.7686768,26.1956463,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7686768
14,2022-01-15 08:49:18.854584+00:00,3.3747101,9.7598305,26.2305775,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7598305
15,2022-01-15 08:49:22.228795+00:00,3.3741407,9.7631254,26.2596664,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7631254
16,2022-01-15 08:49:25.602398+00:00,3.3734832,9.7669325,26.2529964,18.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.90,0,9.7669325
17,2022-01-15 08:49:28.974307+00:00,3.3719087,9.7760553,26.1526260,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7760553
18,2022-01-15 08:49:32.347931+00:00,3.3736086,9.7662058,26.1113262,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7662058
19,2022-01-15 08:49:35.722226+00:00,3.3739665,9.7641335,26.0560265,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7641335
20,2022-01-15 08:49:39.095916+00:00,3.3735633,9.7664680,26.0303802,18.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.95,0,9.7664680
21,2022-01-15 08:49:42.469042+00:00,3.3730307,9.7695522,26.0048542,18.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.95,0,9.7695522
22,2022-01-15 08:49:45.842457+00:00,3.3734052,9.7673826,26.0050144,18.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.96,0,9.7673826
23,2022-01-15 08:49:49.217841+00:00,3.3751659,9.7571945,26.0364876,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7571945
24,2022-01-15 08:49:52.591669+00:00,3.3736560,9.7659311,26.0612335,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7659311
25,2022-01-15 08:49:55.964675+00:00,3.3729453,9.7700472,26.0286579,18.96,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.96,0,9.7700472
