sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-15 15:24:34.057549+00:00,3.3738642,9.7647257,26.5475101,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7647257
2,2022-01-15 15:24:37.432054+00:00,3.3745456,9.7607822,26.5517349,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7607822
3,2022-01-15 15:24:40.806175+00:00,3.3734102,9.7673540,26.5495377,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7673540
4,2022-01-15 15:24:44.179125+00:00,3.3724074,9.7731638,26.4756699,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7731638
5,2022-01-15 15:24:47.553575+00:00,3.3736138,9.7661753,26.4549332,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7661753
6,2022-01-15 15:24:50.927918+00:00,3.3736529,9.7659492,26.3833351,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7659492
7,2022-01-15 15:24:54.302281+00:00,3.3736720,9.7658386,26.3717537,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7658386
8,2022-01-15 15:24:57.676311+00:00,3.3733516,9.7676945,26.3382359,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7676945
9,2022-01-15 15:25:01.050213+00:00,3.3733523,9.7676897,26.3459053,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7676897
10,2022-01-15 15:25:04.422236+00:00,3.3743896,9.7616844,26.3543224,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7616844
11,2022-01-15 15:25:07.793826+00:00,3.3741276,9.7632017,26.3634434,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7632017
12,2022-01-15 15:25:11.164458+00:00,3.3728862,9.7703896,26.3275986,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7703896
13,2022-01-15 15:25:14.534896+00:00,3.3727036,9.7714472,26.2739697,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7714472
14,2022-01-15 15:25:17.906686+00:00,3.3737717,9.7652617,26.2378139,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7652617
15,2022-01-15 15:25:21.278545+00:00,3.3737316,9.7654943,26.1861134,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7654943
16,2022-01-15 15:25:24.650094+00:00,3.3733950,9.7674437,26.1625957,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7674437
17,2022-01-15 15:25:28.021673+00:00,3.3734033,9.7673941,26.1342468,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7673941
18,2022-01-15 15:25:31.393741+00:00,3.3735361,9.7666254,26.1531544,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7666254
19,2022-01-15 15:25:34.766931+00:00,3.3746428,9.7602205,26.1521244,18.80,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.80,0,9.7602205
20,2022-01-15 15:25:38.139128+00:00,3.3736675,9.7658653,26.1610374,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7658653
21,2022-01-15 15:25:41.510363+00:00,3.3724680,9.7728128,26.1011906,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7728128
22,2022-01-15 15:25:44.882140+00:00,3.3732467,9.7683010,26.0633030,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7683010
23,2022-01-15 15:25:48.254836+00:00,3.3736475,9.7659807,26.0093651,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7659807
24,2022-01-15 15:25:51.627330+00:00,3.3737626,9.7653141,25.9780006,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7653141
25,2022-01-15 15:25:54.999833+00:00,3.3732624,9.7682104,25.9503441,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7682104
26,2022-01-15 15:25:58.372166+00:00,3.3734055,9.7673826,25.9485855,18.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.81,0,9.7673826
