sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-15 16:36:33.978065+00:00,3.3753138,9.7563400,26.5584412,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7563400
2,2022-01-15 16:36:37.350530+00:00,3.3732204,9.7684526,26.5396042,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7684526
3,2022-01-15 16:36:40.723989+00:00,3.3732901,9.7680502,26.5351696,18.77,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.77,0,9.7680502
4,2022-01-15 16:36:44.097192+00:00,3.3731637,9.7687826,26.5304565,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7687826
5,2022-01-15 16:36:47.470474+00:00,3.3731856,9.7686558,26.4088860,18.78,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.78,0,9.7686558
6,2022-01-15 16:36:50.844009+00:00,3.3736348,9.7660532,26.2874088,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7660532
7,2022-01-15 16:36:54.217806+00:00,3.3735881,9.7663240,26.2351665,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7663240
8,2022-01-15 16:36:57.591186+00:00,3.3735089,9.7667828,26.2217102,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7667828
9,2022-01-15 16:37:00.964519+00:00,3.3732655,9.7681923,26.2881031,18.72,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.72,0,9.7681923
10,2022-01-15 16:37:04.339408+00:00,3.3745780,9.7605953,26.3842449,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7605953
11,2022-01-15 16:37:07.713039+00:00,3.3736587,9.7659159,26.3526459,18.73,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.73,0,9.7659159
12,2022-01-15 16:37:11.086745+00:00,3.3739028,9.7645025,26.3083229,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7645025
13,2022-01-15 16:37:14.458682+00:00,3.3716710,9.7774334,26.2514954,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7774334
14,2022-01-15 16:37:17.832592+00:00,3.3738885,9.7645855,26.1812687,18.70,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.70,0,9.7645855
15,2022-01-15 16:37:21.206345+00:00,3.3738346,9.7648973,26.0717010,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7648973
16,2022-01-15 16:37:24.579774+00:00,3.3733635,9.7676249,26.0435734,18.74,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.74,0,9.7676249
17,2022-01-15 16:37:27.952933+00:00,3.3731980,9.7685833,26.0704727,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7685833
18,2022-01-15 16:37:31.327990+00:00,3.3751299,9.7574034,26.1240959,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7574034
19,2022-01-15 16:37:34.700952+00:00,3.3730092,9.7696762,26.1795235,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7696762
20,2022-01-15 16:37:38.074582+00:00,3.3735161,9.7667408,26.1492367,18.76,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.76,0,9.7667408
21,2022-01-15 16:37:41.448483+00:00,3.3740594,9.7635956,26.1603050,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7635956
22,2022-01-15 16:37:44.820437+00:00,3.3718519,9.7763844,26.0237331,18.75,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.75,0,9.7763844
23,2022-01-15 16:37:48.194402+00:00,3.3739815,9.7640467,25.9336433,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7640467
24,2022-01-15 16:37:51.567998+00:00,3.3736205,9.7661371,25.8679066,18.80,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.80,0,9.7661371
25,2022-01-15 16:37:54.941004+00:00,3.3732080,9.7685251,25.8454952,18.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.81,0,9.7685251
26,2022-01-15 16:37:58.314256+00:00,3.3731232,9.7690163,25.8759766,18.80,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.80,0,9.7690163
27,2022-01-15 16:38:01.689569+00:00,3.3753924,9.7558861,25.9735718,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7558861
28,2022-01-15 16:38:05.062623+00:00,3.3731730,9.7687283,25.9429035,18.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.81,0,9.7687283
29,2022-01-15 16:38:08.436130+00:00,3.3734906,9.7668896,25.9285984,18.81,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.81,0,9.7668896
30,2022-01-15 16:38:11.808249+00:00,3.3722835,9.7738819,25.9333038,18.83,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.83,0,9.7738819
31,2022-01-15 16:38:15.182329+00:00,3.3739522,9.7642164,25.8036385,18.79,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.79,0,9.7642164
32,2022-01-15 16:38:18.555691+00:00,3.3734474,9.7671385,25.6888447,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7671385
33,2022-01-15 16:38:21.929060+00:00,3.3734345,9.7672129,25.6510868,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7672129
34,2022-01-15 16:38:25.302332+00:00,3.3734493,9.7671280,25.6397018,18.83,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.83,0,9.7671280
35,2022-01-15 16:38:28.676324+00:00,3.3739905,9.7639952,25.7073135,18.83,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.83,0,9.7639952
36,2022-01-15 16:38:32.049967+00:00,3.3738031,9.7650795,25.7926731,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7650795
37,2022-01-15 16:38:35.423455+00:00,3.3736959,9.7657003,25.7573624,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7657003
38,2022-01-15 16:38:38.797494+00:00,3.3738728,9.7646761,25.7272263,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7646761
39,2022-01-15 16:38:42.169212+00:00,3.3717675,9.7768745,25.6183186,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7768745
40,2022-01-15 16:38:45.542890+00:00,3.3737946,9.7651281,25.5826511,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7651281
41,2022-01-15 16:38:48.916674+00:00,3.3738413,9.7648592,25.4823570,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7648592
42,2022-01-15 16:38:52.289839+00:00,3.3732870,9.7680683,25.4572849,18.85,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.85,0,9.7680683
43,2022-01-15 16:38:55.663015+00:00,3.3732259,9.7684212,25.4968262,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7684212
44,2022-01-15 16:38:59.038077+00:00,3.3751807,9.7571106,25.5581932,18.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.87,0,9.7571106
45,2022-01-15 16:39:02.411028+00:00,3.3730230,9.7695971,25.5688515,18.84,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.84,0,9.7695971
46,2022-01-15 16:39:05.784254+00:00,3.3733392,9.7677650,25.5546951,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7677650
47,2022-01-15 16:39:09.157925+00:00,3.3736978,9.7656889,25.5562897,18.86,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.86,0,9.7656889
48,2022-01-15 16:39:12.530116+00:00,3.3723774,9.7733383,25.4293823,18.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.87,0,9.7733383
49,2022-01-15 16:39:15.903788+00:00,3.3737111,9.7656116,25.3141537,18.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.87,0,9.7656116
50,2022-01-15 16:39:19.277316+00:00,3.3736300,9.7660818,25.2784500,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7660818
51,2022-01-15 16:39:22.650671+00:00,3.3734565,9.7670860,25.2575169,18.90,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.90,0,9.7670860
52,2022-01-15 16:39:26.023385+00:00,3.3728893,9.7703724,25.3008747,18.91,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.91,0,9.7703724
53,2022-01-15 16:39:29.398528+00:00,3.3752346,9.7567987,25.3910656,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7567987
54,2022-01-15 16:39:32.771668+00:00,3.3732214,9.7684479,25.3583317,18.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.87,0,9.7684479
55,2022-01-15 16:39:36.145214+00:00,3.3738043,9.7650719,25.3290119,18.91,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.91,0,9.7650719
56,2022-01-15 16:39:39.516800+00:00,3.3717084,9.7772169,25.3092823,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7772169
57,2022-01-15 16:39:42.890865+00:00,3.3740187,9.7638321,25.1863613,18.93,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.93,0,9.7638321
58,2022-01-15 16:39:46.264359+00:00,3.3736136,9.7661772,25.1008263,18.89,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.89,0,9.7661772
59,2022-01-15 16:39:49.637589+00:00,3.3733618,9.7676344,25.0689201,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7676344
60,2022-01-15 16:39:53.010703+00:00,3.3732324,9.7683849,25.0747738,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7683849
61,2022-01-15 16:39:56.385384+00:00,3.3747926,9.7593536,25.1370850,18.92,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.92,0,9.7593536
62,2022-01-15 16:39:59.758433+00:00,3.3731785,9.7686968,25.2126675,18.87,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.87,0,9.7686968
63,2022-01-15 16:40:03.132005+00:00,3.3736556,9.7659330,25.1699505,18.95,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.95,0,9.7659330
64,2022-01-15 16:40:06.505783+00:00,3.3739583,9.7641811,25.1627388,18.94,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,18.94,0,9.7641811
