sample,datetime (utc),period (s),gravity (m/s2),velocity (m/s),temperature (c),country,city,university,lat,long,alt,correction,temp_corr (c),length_corr (m),g_corr (m/s2)
1,2022-01-19 05:06:07.720329+00:00,3.3737462,9.7654085,26.6234665,19.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.20,0,9.7654085
2,2022-01-19 05:06:11.093367+00:00,3.3736525,9.7659512,26.5992279,19.18,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.18,0,9.7659512
3,2022-01-19 05:06:14.466670+00:00,3.3733788,9.7675362,26.5749626,19.16,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.16,0,9.7675362
4,2022-01-19 05:06:17.839913+00:00,3.3733115,9.7679253,26.5749397,19.15,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.15,0,9.7679253
5,2022-01-19 05:06:21.214435+00:00,3.3745775,9.7605982,26.5873394,19.10,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.10,0,9.7605982
6,2022-01-19 05:06:24.588571+00:00,3.3742995,9.7622070,26.6100388,19.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.19,0,9.7622070
7,2022-01-19 05:06:27.961813+00:00,3.3731713,9.7687378,26.5872669,19.20,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.20,0,9.7687378
8,2022-01-19 05:06:31.333823+00:00,3.3722103,9.7743063,26.4986477,19.19,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.19,0,9.7743063
9,2022-01-19 05:06:34.707566+00:00,3.3736663,9.7658720,26.4635391,19.22,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.22,0,9.7658720
10,2022-01-19 05:06:38.081199+00:00,3.3737421,9.7654333,26.4110107,19.25,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.25,0,9.7654333
1,2022-01-19 05:08:20.702359+00:00,3.3752508,9.7567043,26.7389278,19.37,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.37,0,9.7567043
2,2022-01-19 05:08:24.077537+00:00,3.3732412,9.7683325,26.7196178,19.41,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.41,0,9.7683325
3,2022-01-19 05:08:27.450693+00:00,3.3733039,9.7679701,26.7178745,19.42,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.42,0,9.7679701
4,2022-01-19 05:08:30.824294+00:00,3.3736317,9.7660713,26.7233963,19.39,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.39,0,9.7660713
5,2022-01-19 05:08:34.196826+00:00,3.3725569,9.7722979,26.6002216,19.35,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.35,0,9.7722979
6,2022-01-19 05:08:37.568310+00:00,3.3737249,9.7655325,26.4744930,19.40,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.40,0,9.7655325
7,2022-01-19 05:08:40.941820+00:00,3.3737092,9.7656231,26.4278202,19.44,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.44,0,9.7656231
8,2022-01-19 05:08:44.315283+00:00,3.3735733,9.7664099,26.4053841,19.47,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.47,0,9.7664099
9,2022-01-19 05:08:47.688604+00:00,3.3731711,9.7687397,26.4664688,19.48,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.48,0,9.7687397
10,2022-01-19 05:08:51.063050+00:00,3.3746266,9.7603140,26.5648460,19.44,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.44,0,9.7603140
1,2022-01-19 05:29:06.021286+00:00,3.3734460,9.7671471,26.7110634,19.26,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.26,0,9.7671471
2,2022-01-19 05:29:09.394861+00:00,3.3739991,9.7639456,26.7038479,19.28,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.28,0,9.7639456
3,2022-01-19 05:29:12.768809+00:00,3.3741002,9.7633600,26.6884289,19.26,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.26,0,9.7633600
4,2022-01-19 05:29:16.142234+00:00,3.3730087,9.7696800,26.6663113,19.30,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.30,0,9.7696800
5,2022-01-19 05:29:19.515639+00:00,3.3730793,9.7692709,26.6339626,19.27,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.27,0,9.7692709
6,2022-01-19 05:29:22.889068+00:00,3.3737535,9.7653656,26.5896587,19.27,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.27,0,9.7653656
7,2022-01-19 05:29:26.262248+00:00,3.3735533,9.7665262,26.5342979,19.23,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.23,0,9.7665262
8,2022-01-19 05:29:29.635177+00:00,3.3735061,9.7667990,26.5101509,19.27,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.27,0,9.7667990
9,2022-01-19 05:29:33.008387+00:00,3.3734808,9.7669458,26.5065269,19.23,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.23,0,9.7669458
10,2022-01-19 05:29:36.381630+00:00,3.3735914,9.7663059,26.5072803,19.31,CO,BOG,Uniandes,4.6012,-74.0657,2630,False,19.31,0,9.7663059
